Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.51     0.00       30     0.00     0.00  quBaseState::baseterms() const
  0.00      2.51     0.00       30     0.00     0.00  tType::isNumber() const
  0.00      2.51     0.00       30     0.00     0.00  sObject::isQuFunDef() const
  0.00      2.51     0.00       30     0.00     0.00  termlist::nterms() const
  0.00      2.51     0.00       29     0.00     0.00  SymTabComb::getDef(std::string const&) const
  0.00      2.51     0.00       28     0.00     0.00  sList<sExpr>::append(sExpr*)
  0.00      2.51     0.00       26     0.00     0.00  yy_load_buffer_state()
  0.00      2.51     0.00       26     0.00     0.00  tType::isQuConst() const
  0.00      2.51     0.00       25     0.00     0.00  sStmt::sStmt(int)
  0.00      2.51     0.00       25     0.00     0.00  sStmt::~sStmt()
  0.00      2.51     0.00       23     0.00     0.00  sList<sExpr>::sList()
  0.00      2.51     0.00       23     0.00     0.00  sList<sExpr>::~sList()
  0.00      2.51     0.00       23     0.00     0.00  sList<sStmt>::append(sStmt*)
  0.00      2.51     0.00       23     0.00     0.00  sExprList::sExprList()
  0.00      2.51     0.00       23     0.00     0.00  sExprList::~sExprList()
  0.00      2.51     0.00       23     0.00     0.00  sExprList::~sExprList()
  0.00      2.51     0.00       23     0.00     0.00  sList<sStmt>::next(void*&) const
  0.00      2.51     0.00       23     0.00     0.00  tType::isBoolean() const
  0.00      2.51     0.00       23     0.00     0.00  sObject::isQuOpDef() const
  0.00      2.51     0.00       22     0.00     0.00  tType::isConv(tType const&) const
  0.00      2.51     0.00       21     0.00     0.00  sExpr::sExpr(tType const&)
  0.00      2.51     0.00       21     0.00     0.00  sConst::sConst(tValue const&)
  0.00      2.51     0.00       21     0.00     0.00  sConst::~sConst()
  0.00      2.51     0.00       21     0.00     0.00  sConst::~sConst()
  0.00      2.51     0.00       21     0.00     0.00  sIf::object() const
  0.00      2.51     0.00       21     0.00     0.00  tType::isInt() const
  0.00      2.51     0.00       20     0.00     0.00  sObject::inFunctDef() const
  0.00      2.51     0.00       19     0.00     0.00  sConst::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       19     0.00     0.00  sQuOpDef::sQuOpDef(std::string*, sDefList*, sDefList*, sStmtList*, int, int)
  0.00      2.51     0.00       19     0.00     0.00  sQuOpDef::~sQuOpDef()
  0.00      2.51     0.00       19     0.00     0.00  sQuOpDef::~sQuOpDef()
  0.00      2.51     0.00       19     0.00     0.00  tType::isDefined() const
  0.00      2.51     0.00       19     0.00     0.00  sObject::inQuDef() const
  0.00      2.51     0.00       19     0.00     0.00  sObject::isQuDef() const
  0.00      2.51     0.00       18     0.00     0.00  sList<sStmt>::sList()
  0.00      2.51     0.00       18     0.00     0.00  sList<sStmt>::~sList()
  0.00      2.51     0.00       18     0.00     0.00  sBinOp::sBinOp(sExpr*, sExpr*)
  0.00      2.51     0.00       18     0.00     0.00  sBinOp::~sBinOp()
  0.00      2.51     0.00       18     0.00     0.00  sStmtList::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       18     0.00     0.00  sStmtList::sStmtList()
  0.00      2.51     0.00       18     0.00     0.00  sStmtList::~sStmtList()
  0.00      2.51     0.00       18     0.00     0.00  sStmtList::~sStmtList()
  0.00      2.51     0.00       18     0.00     0.00  sList<sStmt>::first(void*&) const
  0.00      2.51     0.00       17     0.00     0.00  yy_flush_buffer(yy_buffer_state*)
  0.00      2.51     0.00       17     0.00     0.00  sCall::id() const
  0.00      2.51     0.00       16     0.00     0.00  termlist::newlist()
  0.00      2.51     0.00       16     0.00     0.00  sQuFunDef::sQuFunDef(std::string*, sDefList*, sDefList*, sStmtList*, int, int)
  0.00      2.51     0.00       16     0.00     0.00  sQuFunDef::~sQuFunDef()
  0.00      2.51     0.00       16     0.00     0.00  sQuFunDef::~sQuFunDef()
  0.00      2.51     0.00       15     0.00     0.00  sCall::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       15     0.00     0.00  sCall::sCall(std::string*, sExprList*, int)
  0.00      2.51     0.00       15     0.00     0.00  sCall::~sCall()
  0.00      2.51     0.00       15     0.00     0.00  sCall::~sCall()
  0.00      2.51     0.00       15     0.00     0.00  tValue::tValue(long)
  0.00      2.51     0.00       15     0.00     0.00  quSubState::isbasestate() const
  0.00      2.51     0.00       15     0.00     0.00  sFor::object() const
  0.00      2.51     0.00       15     0.00     0.00  bitvec::operator[](int) const
  0.00      2.51     0.00       15     0.00     0.00  sObject::inQuFunDef() const
  0.00      2.51     0.00       15     0.00     0.00  sObject::isProcDef() const
  0.00      2.51     0.00       14     0.00     0.00  sObject::isSetRec(ObjFlag)
  0.00      2.51     0.00       14     0.00     0.00  tType::isCond() const
  0.00      2.51     0.00       13     0.00     0.00  sBinOp::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       13     0.00     0.00  sCall::object() const
  0.00      2.51     0.00       13     0.00     0.00  tValue::isQuExpr() const
  0.00      2.51     0.00       12     0.00     0.00  yy_get_next_buffer()
  0.00      2.51     0.00       11     0.00     0.00  yy_init_buffer(yy_buffer_state*, _IO_FILE*)
  0.00      2.51     0.00       11     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      2.51     0.00       10     0.00     0.00  yyrestart(_IO_FILE*)
  0.00      2.51     0.00       10     0.00     0.00  SymTabComb::SymTabComb(SymTable*, SymTable*)
  0.00      2.51     0.00       10     0.00     0.00  SymTabComb::~SymTabComb()
  0.00      2.51     0.00       10     0.00     0.00  SymTabComb::~SymTabComb()
  0.00      2.51     0.00        9     0.00     0.00  sMult::object() const
  0.00      2.51     0.00        9     0.00     0.00  tType::operator==(tType const&) const
  0.00      2.51     0.00        9     0.00     0.00  tValue::qustate() const
  0.00      2.51     0.00        8     0.00     0.00  yy_get_previous_state()
  0.00      2.51     0.00        8     0.00     0.00  term::set(bitvec const&, std::complex<double> const&)
  0.00      2.51     0.00        8     0.00     0.00  sVarDef::sVarDef(tType const&, std::string*, sExpr*, sExpr*)
  0.00      2.51     0.00        8     0.00     0.00  sExprList::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00        8     0.00     0.00  sList<sExpr>::n() const
  0.00      2.51     0.00        8     0.00     0.00  tType::isOrdered() const
